article,cluster
Sistem Pengaman Kendaraan Roda Dua dengan Pengenalan Wajah menggunakan Principal Component Analisis,0
Implementasi Sistem Pendukung Keputusan untuk Deteksi Kelayakan Kenaikan Jabatan Karyawan PT Venturo Pro Indonesia menggunakan Metode Analytic Hirarchy Process (AHP),0
Pengembangan Database E-Learning PT XYZ menggunakan Metode Database System Development Life Cycle,0
Mekanisme Penyediaan Layanan pada Perangkat Smart Home berbasis ESP32 berdasarkan Dataset Time Series menggunakan K-Means,0
Pengendalian Suhu dan Kelembapan Udara untuk Budidaya Microgreen Lobak menggunakan Metode Regresi Linier berbasis Arduino,0
Implementasi Sensor MQ-3 pada Sistem Keamanan Pendeteksi Bau Alkohol di dalam Kabin Mobil,0
Sistem Kendali Suhu dan kelembapan udara pada Tanaman Bayam Microgreen dalam Ruangan Tertutup menggunakan Regresi Linier,0
Pengaruh Implementasi Metode Pembelajaran Peta Konsep terhadap Hasil Belajar Siswa pada Mata Pelajaran Dasar-Dasar Desain Komunikasi Visual di SMKN 7 Malang,0
Purwarupa Brankas Pintar dengan RFID dan Pengenalan Wajah menggunakan Metode PCA,0
Deteksi Hambatan Arsitektural Jalan pada Kursi Roda Pintar menggunakan Tiga Model YOLOv5 berbasis TX2,0
Sistem Automatic Human Tracking pada Kursi Roda Pintar menggunakan Metode YOLOv7-Tiny berbasis Nvidia Jetson TX2,0
Sistem Pendukung Keputusan Deteksi Dini Penyakit Strok dengan Multiple Attribute Decision Making Simple Additive Weighting (SAW),0
Sistem Klasifikasi Permukaan Jalan dan Penghindaran Jalan Berlubang pada Kursi Roda Pintar dengan Metode MobileNetV3-Small,0
"Sistem Deteksi Tomat Matang Hidroponik berdasarkan Warna Hue, Saturation dan Value menggunakan Metode Threshold berbasis Graphical User Interface",0
Analisis Sentimen Pemindahan Ibu Kota Indonesia pada Media Sosial Twitter menggunakan Metode LSTM dan Word2Vec,0
Rancang Bangun Alat Sortir Keju Mozzarella menggunakan Metode Klasifikasi Naïve Bayes,0
Dampak Serangan Wormhole terhadap Kinerja Protokol Routing Adhoc On Demand Multipath Distance Vector (AOMDV) pada Jaringan Mobile Ad-hoc Network (MANET),0
Evaluasi Playtesting Gim A Space for the Unbound menggunakan Mechanic Dynamic Aesthetic Framework,0
Perancangan Sistem Deteksi Anomali pada Panel Surya menggunakan Mikrokontroler dengan Algoritma K-Nearest Neighbors,0
Root Cause Analysis (RCA) berbasis Sentimen menggunakan Metode K-Nearest Neighbor (K-NN) (Studi Kasus: Pengunjung Kolam Renang Brawijaya),0
Analisis Performa Image Loading Library Glide dan Picasso pada Aplikasi MovieApp,0
Pengaruh Model Flipped Classroom pada Mata Pelajaran Pemrograman Dasar terhadap Hasil Belajar Siswa Kelas X SMK Negeri 6 Malang,0
Pengembangan E-modul Interaktif sebagai Sumber Belajar pada Materi Komunikasi Jaringan Komputer dan Telepon Kelas XI Teknik Komputer Jaringan SMK Negeri 3 Malang,0
Analisis Sentimen Ulasan Pengguna Aplikasi Shopee di Google Play menggunakan Metode Word Embedding dan Long Short Term Memory (LSTM),0
Rancang Bangun Sistem Klasifikasi Kelayakan Madu berdasarkan Kadar Gula dan Warna untuk Penderita Diabetes Mellitus menggunakan Metode K-Nearest Neighbors,0
"Sistem Monitoring dan Klasifikasi Kesiapan Panen Sampah Biodrying berdasarkan Suhu, Kelembapan, dan pH menggunakan Metode Naive Bayes",0
"Sistem Deteksi Kematangan Stroberi Hidroponik Berdasarkan Warna Hue, Saturation, dan Value (HSV) berbasis Graphical User Interface (GUI) Python",0
Implementasi Solder Rework Station untuk Chipset BGA menggunakan Metode PID Controller,0
Perancangan Sistem Deteksi Node Baru Otomatis dalam Basis ESP-NOW dengan Tree Topology WSN,0
Pengenalan Papan Nama Ruangan untuk Kendali Kursi Roda Pintar menggunakan YOLOv7-Tiny dan EasyOCR berbasis TX2,0
Analisis Color Space untuk Spesifikasi Perancangan Perangkat Lunak pada Embedded System Deteksi Penyakit Busuk Selada,0
Analisis Sentimen Dokumen Twitter menggunakan Metode Naïve Bayes dengan Seleksi Fitur GU Metric,0
Studi Perbandingan Pencatatan Data Transaksi Kasir Klinik Rumah Sayang Bunda terhadap Jumlah Terjadinya Kesalahan Pencatatan menggunakan Sistem Manual dan Sistem Aplikasi AdminRSB,0
Klasifikasi Judul Berita Online menggunakan Metode Support Vector Machine (SVM) dengan Seleksi Fitur Chi-square,0
Prediksi Jumlah Kasus COVID-19 di Dunia dengan menggunakan Metode Long Short-Term Memory,0
Penggunaan Variasi Model pada Arsitektur EfficientNetV2 untuk Prediksi Sel Kanker Serviks,0
Klasifikasi Masa Panen Varietas Unggul Kedelai menggunakan K-Nearest Neighbor,0
Perancangan Mekanik Gim Edukasi Kimia Tabel Periodik Unsur Menggunakan Metode Iterative dan Rapid Prototyping,0
Analisis dan Evaluasi Proses Bisnis Menggunakan Metode Business Process Improvement (BPI) pada PT Samudra Kencana Mina,0
Analisis Sentimen terhadap Ulasan Pelanggan UB Press menggunakan Metode Learning Vector Quantization,0
Analisis Faktor-Faktor yang Mempengaruhi Kesuksesan Fitur Mobile Order Pada Aplikasi Starbucks Indonesia Berdasarkan Perspektif Pengguna Menggunakan Model Kesuksesan Delone dan McLean,0
Analisis Performa State Management Library Redux Toolkit Dan Recoil Pada Aplikasi Manajemen Sumber Daya Manusia Menggunakan Library React,0
Analisis Perbandingan Kinerja Scripting API UnityEvent dan C# Event untuk Observer Pattern,0
Analisis Penerapan Search Engine Optimization untuk Meningkatkan Brand Awareness Pada Website PT. Myeco Teknologi Nusantara,0
Analisis Sentimen Berbasis Aspek Menggunakan Support Vector Machine dan Binary Relevance Terhadap Aplikasi Access by KAI,0
Implementasi Augmented Reality Dalam Bidang Fotografi Menggunakan Metode Marker Based Tracking Berbasis Android,0
Sistem Deteksi Wearable pada Training Angkat Beban untuk Standing Dumbbell Curl dengan Rekognisi Sequence Motion Menggunakan Arsitektur LSTM,0
Implementasi Adaptive Neuro-Fuzzy Inference System pada Sistem Deteksi Kelelahan Mental berbasis Sinyal Electroencephalogram,0
Mesin Catur Berbasis Neural Network Menggunakan Long Short Term Memory (LSTM),0
Pengembangan Isi Sumber Belajar Berbasis Web Berdasarkan Prinsip  Personalized Learning Pada Konteks Pengelompokan Gaya Belajar VARK Pada Mata Pelajaran Pemrograman Web,0
Analisis Sentimen Pengguna Twitter Terhadap Metaverse Menggunakan Metode Long Short-Term Memory dan Word2Vec,0
Reduksi Fitur Pada Sistem Wearable Alat Latih Otot Bisep  Dengan Kombinasi Algoritma Principal Component Analysis Dan Random Forest,0
Root Cause Analysis Berdasarkan Ulasan Pengguna Aplikasi Satusehat Mobile pada Google Playstore Menggunakan Algoritma Naive Bayes,0
Analisis Perbandingan Information Quality dan User Interface Quality Pada Website E-library Sebelum dan Sesudah Pembaruan Terhadap Engagement Siswa (Studi Kasus : SDN 02 Karanganom),0
